Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Weight,Sales
NCX06,Low Fat,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,18,183
NCO06,Low Fat,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,19,32
NCN54,Low Fat,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,20,76
FDL27,Low Fat,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,6,66
FDV51,Low Fat,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,16,166
FDC46,Low Fat,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,18,183
FDZ58,Low Fat,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,18,123
FDN21,Low Fat,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,19,161
FDO58,Low Fat,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,20,166
DRD24,Low Fat,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,14,143
DRI37,Low Fat,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,16,59
FDI12,Regular,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,9,90
FDP12,Regular,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,10,37
FDO01,Regular,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,21,130
FDZ37,Regular,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,8,89
FDJ15,Regular,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,11,183
FDM04,Regular,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,9,53
FDI40,Regular,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,12,101
FDX04,Regular,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,20,50
FDS15,Regular,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,9,106
FDJ57,Regular,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,7,185
FDG21,Regular,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,17,150
FDW21,Regular,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,5,100
FDX10,Regular,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,6,37
DRI51,Low Fat,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,17,172
NCZ17,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,12,39
DRE25,Low Fat,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,15,92
FDT60,Low Fat,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,12,125
FDN24,Low Fat,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,14,56
FDO37,Low Fat,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,8,232
FDI14,Low Fat,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,14,140
FDW37,Low Fat,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,19,90
DRC27,Low Fat,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,14,247
FDK16,Low Fat,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,9,96
FDK41,Low Fat,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,14,84
FDY31,Low Fat,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,6,146
FDT20,Low Fat,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,10,37
FDI45,Low Fat,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,13,176
FDG57,Low Fat,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,15,49
FDN32,Low Fat,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,18,185
FDX19,Low Fat,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,19,234
FDP20,Low Fat,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,20,126
NCR17,Low Fat,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,10,116
NCT17,Low Fat,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,11,190
NCU05,Low Fat,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,12,79
NCT42,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,6,148
NCV18,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,7,85
NCH43,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,8,216
NCE18,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,10,252
NCC18,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,19,174
NCJ42,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,20,104
FDQ10,Low Fat,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,13,172
FDL34,Low Fat,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,16,143
DRK37,Low Fat,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,5,190
DRF48,Low Fat,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,6,188
DRG49,Low Fat,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,8,246
FDX60,Low Fat,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,14,79
FDS13,Low Fat,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,6,267
FDC50,Low Fat,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,16,94
FDK51,Low Fat,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,20,265
FDD17,Low Fat,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,8,240
FDJ28,Low Fat,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,12,191
FDP16,Low Fat,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,19,244
FDB20,Low Fat,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,8,79
FDP56,Low Fat,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,8,50
FDT43,Low Fat,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,16,51
DRI59,Low Fat,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,10,224
DRN47,Low Fat,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,12,178
DRM23,Low Fat,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,17,173
NCN53,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,5,34
NCT53,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,5,163
NCQ05,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,11,149
NCM53,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,19,108
NCX42,Low Fat,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,6,163
NCT18,Low Fat,Household,2020,OUT017,Tier 2,High,Supermarket Type1,15,180
NCI30,Low Fat,Household,2020,OUT017,Tier 2,High,Supermarket Type1,20,246
NCE54,Low Fat,Household,2020,OUT017,Tier 2,High,Supermarket Type1,21,74
FDH19,Low Fat,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,19,174
FDT03,Low Fat,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,21,183
NCN19,Low Fat,Others,2020,OUT017,Tier 2,High,Supermarket Type1,13,190
NCQ43,Low Fat,Others,2020,OUT017,Tier 2,High,Supermarket Type1,18,109
FDK09,Low Fat,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,15,227
FDV46,Low Fat,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,18,140
FDY46,Low Fat,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,19,189
FDK26,Regular,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,5,188
FDI50,Regular,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,8,228
FDB26,Regular,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,14,52
FDY49,Regular,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,17,166
FDB04,Regular,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,11,89
FDA02,Regular,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,14,146
FDZ28,Regular,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,20,128
FDE17,Regular,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,20,152
FDQ19,Regular,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,7,241
FDM08,Regular,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,10,223
FDP03,Regular,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,5,122
FDU58,Regular,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,7,186
FDU46,Regular,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,10,85
FDY34,Regular,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,10,167
FDO09,Regular,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,14,262
FDP48,Regular,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,8,181
FDI12,Regular,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,9,87
FDY12,Regular,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,10,50
FDX48,Regular,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,18,154
FDV60,Regular,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,20,196
FDQ47,Regular,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,7,35
FDZ13,Regular,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,8,51
FDM04,Regular,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,9,51
FDS04,Regular,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,10,142
FDV28,Regular,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,16,35
FDU19,Regular,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,9,171
FDE56,Regular,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,17,62
FDI07,Regular,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,12,197
FDU15,Regular,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,14,37
FDU27,Regular,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,19,47
FDN39,Regular,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,19,167
FDV10,Regular,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,8,44
FDO45,Regular,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,13,89
FDB23,Regular,Starchy Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,19,227
NCY41,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,17,34
FDW31,Regular,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,11,197
FDR55,Regular,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,12,191
FDX10,Regular,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,6,34
DRF49,Low Fat,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,7,114
FDA23,Low Fat,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,10,99
FDR60,Low Fat,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,14,77
FDN60,Low Fat,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,15,160
FDU48,Low Fat,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,19,132
FDG60,Low Fat,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,20,234
FDU11,Low Fat,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,5,121
FDT49,Low Fat,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,7,108
FDS37,Low Fat,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,8,114
FDK50,Low Fat,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,8,163
FDG26,Low Fat,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,19,258
FDD14,Low Fat,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,21,184
FDK41,Low Fat,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,14,86
FDD16,Low Fat,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,20,73
FDZ44,Low Fat,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,8,116
FDO44,Low Fat,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,13,110
DRL11,Low Fat,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,10,157
NCU17,Low Fat,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,5,101
NCL41,Low Fat,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,12,36
NCS53,Low Fat,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,14,159
NCV17,Low Fat,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,19,130
NCO14,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,10,43
NCU18,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,15,140
NCI54,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,15,108
NCQ50,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,19,213
NCC18,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,19,172
NCQ38,Low Fat,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,16,106
FDL10,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,8,98
FDE34,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,9,181
FDL46,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,20,120
FDH10,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,21,194
DRE60,Low Fat,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,9,226
DRD60,Low Fat,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,16,182
FDR36,Regular,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,7,44
FDL24,Regular,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,10,171
FDM36,Regular,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,12,171
FDD26,Regular,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,9,183
FDI02,Regular,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,16,114
FDE04,Regular,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,20,182
FDQ08,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,16,60
FDV20,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,20,127
FDW03,Regular,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,6,106
FDX51,Regular,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,10,195
FDR03,Regular,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,16,208
FDW21,Regular,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,5,102
FDJ58,Regular,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,16,173
FDR48,Low Fat,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,12,153
FDO16,Low Fat,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,5,83
FDE53,Low Fat,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,11,107
FDV31,Low Fat,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,10,178
FDF32,Low Fat,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,16,198
DRN35,Low Fat,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,8,37
NCQ17,Low Fat,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,10,156
NCQ41,Low Fat,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,15,194
NCN06,Low Fat,Household,2011,OUT010,Tier 3,Medium,Grocery Store,8,163
NCF30,Low Fat,Household,2011,OUT010,Tier 3,Medium,Grocery Store,17,125
FDQ39,Low Fat,Meat,2011,OUT010,Tier 3,High,Grocery Store,15,191
FDL45,Low Fat,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,16,126
FDR10,Low Fat,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,18,163
FDZ09,Low Fat,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,18,164
DRJ13,Low Fat,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,13,160
DRD24,Low Fat,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,14,143
DRH25,Low Fat,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,19,53
FDC60,Regular,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,5,87
FDJ36,Regular,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,14,103
FDU47,Regular,Breads,2011,OUT010,Tier 3,High,Grocery Store,13,139
FDA03,Regular,Dairy,2011,OUT010,Tier 3,High,Grocery Store,18,146
FDY40,Regular,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,16,48
FDZ16,Regular,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,17,194
FDW07,Regular,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,18,88
FDW23,Low Fat,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,6,37
FDW59,Low Fat,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,13,86
DRF27,Low Fat,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,9,153
FDB15,Low Fat,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,11,265
FDG16,Low Fat,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,15,214
FDJ04,Low Fat,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,18,118
